permno,caldt,ticker,prc,ret,me,analysts
91727,2020-02-28,TA,12.09,-0.282066,100.43163,1.0
91727,2020-03-31,TA,9.775,-0.191481,81.31822500000001,1.0
91727,2020-04-30,TA,11.01,0.126343,91.59219,1.0
91727,2020-05-29,TA,13.62,0.237057,113.30478,1.0
91727,2020-06-30,TA,15.4,0.13069,127.7892,1.0
91727,2020-07-31,TA,13.98,-0.092208,201.75936000000002,1.0
91727,2020-08-31,TA,21.36,0.527897,307.54128,0.0
91727,2020-09-30,TA,19.54,-0.085206,281.29783999999995,2.0
91727,2020-10-30,TA,23.8,0.218014,342.6248,3.0
91727,2020-11-30,TA,32.54,0.367227,468.4133,3.0
91727,2020-12-31,TA,32.6,0.001844,469.277,3.0
91729,2020-01-31,ZN,0.233,0.349942,28.885709000000002,0.0
91729,2020-02-28,ZN,0.1898,-0.185408,23.530075399999998,0.0
91729,2020-03-31,ZN,0.177,-0.067439,29.150306999999998,0.0
91729,2020-04-30,ZN,0.2622,0.481356,44.0210202,0.0
91729,2020-05-29,ZN,0.2698,0.028986,46.774416599999995,0.0
91729,2020-06-30,ZN,0.2978,0.103781,51.6286926,0.0
91729,2020-07-31,ZN,0.45,0.511081,78.01515,0.0
91729,2020-08-31,ZN,0.3116,-0.307556,54.021157200000005,0.0
91733,2020-01-31,AVAV,66.61,0.078879,1598.30695,6.0
91733,2020-02-28,AVAV,51.39,-0.228494,1233.10305,6.0
91733,2020-03-31,AVAV,60.96,0.186223,1462.7351999999998,6.0
91733,2020-04-30,AVAV,60.26,-0.011483,1450.09664,6.0
91733,2020-05-29,AVAV,70.83,0.175407,1704.45312,6.0
91733,2020-06-30,AVAV,79.63,0.124241,1916.2163199999998,6.0
91733,2020-07-31,AVAV,76.55,-0.038679,1845.23775,6.0
91733,2020-08-31,AVAV,76.39,-0.00209,1841.38095,6.0
91733,2020-09-30,AVAV,60.01,-0.214426,1446.4810400000001,6.0
91733,2020-10-30,AVAV,76.36,0.272455,1840.58144,6.0
91733,2020-11-30,AVAV,85.39,0.118256,2058.24056,6.0
91733,2020-12-31,AVAV,86.9,0.017684,2094.6376,6.0
91741,2020-01-31,MSBF,17.34,-0.036667,89.89056,0.0
91741,2020-02-28,MSBF,15.14,-0.126874,78.48576000000001,0.0
91741,2020-03-31,MSBF,12.24,-0.191546,63.464400000000005,0.0
91741,2020-04-30,MSBF,12.99,0.061275,67.35315,0.0
